metric,n_games,r_wins,ci_lower_wins,ci_upper_wins,r_point_diff,ci_lower_pd,ci_upper_pd,team_seasons
off_pass_epa,6,0.37797782016647763,0.31768883987427127,0.4350383197694738,0.42105714494398355,0.3645585152117107,0.47634794736850644,829
off_pass_epa,8,0.411966200828393,0.36160198277333466,0.4643755708003974,0.4598528874595383,0.40985456191067055,0.5088440096126671,829
off_rush_epa,6,0.23726169050119722,0.17266446627541474,0.293947792018852,0.2898598270002711,0.2276389133495904,0.34879050176212384,829
off_rush_epa,8,0.22188835529907572,0.15908851222307305,0.2857283219255294,0.2748492733086056,0.21043062374909552,0.3389532292117504,829
def_pass_epa,6,-0.21345554470210523,-0.27632418027554995,-0.1500289851960594,-0.22587024982917783,-0.2896066865656497,-0.1633553109279724,829
def_pass_epa,8,-0.21359913276699682,-0.27805553763007856,-0.15173416952251148,-0.22492744253691907,-0.28923332613480085,-0.16074795315425291,829
def_rush_epa,6,-0.15954730391114072,-0.22078709285351164,-0.09765469899789166,-0.1622011416792759,-0.22357019686516333,-0.09930129186634107,829
def_rush_epa,8,-0.15515693246529075,-0.2180726527728428,-0.09084287797824041,-0.16740168525272228,-0.2283731019196894,-0.10125792032629075,829
metric,n_games,r_wins,ci_lower_wins,ci_upper_wins,r_point_diff,ci_lower_pd,ci_upper_pd,team_seasons
off_success,6,0.3256411689151312,0.26640453218253457,0.3842924990135771,0.37150852734853107,0.31114604098205,0.4288190932311313,829
off_success,8,0.3351358696969644,0.2764643444566236,0.3916499761827171,0.38661310536524307,0.3283368401945327,0.44421710692305855,829
def_success,6,-0.1322887942804486,-0.2027126891530854,-0.06547939448769133,-0.13431667340093753,-0.20240254775242167,-0.06810110711987319,829
def_success,8,-0.13151150882423526,-0.19784890048701712,-0.06426816879219815,-0.13024642284748242,-0.1975926267858542,-0.06438486732880684,829
turnover_rate,6,-0.17690631479627483,-0.24331347175813034,-0.11363184082912776,-0.21842596412715581,-0.28102449883744907,-0.1578711359236189,829
turnover_rate,8,-0.17801420852900324,-0.23953111788352538,-0.11821073080756432,-0.2182414735763396,-0.2787248750746048,-0.15690524963853436,829
point_diff_baseline,6,0.4681184858925865,0.41677967392991133,0.5192281359596007,0.5115882282980149,0.4642831086042636,0.5580299099129421,829
point_diff_baseline,8,0.47352710621927924,0.4206212358140152,0.5228784017143322,0.5218893476982548,0.47337261562189775,0.5674192110953857,829
